Tipster,Horse,Bet Type,Odds,Result,TipsterActive
Tipster A,Fredricka,Win,8,Lose,TRUE
Tipster A,Spend A Penny,Win,4.5,Lose,TRUE
Tipster A,Straightothepoint,Win,7,Lose,TRUE
Tipster A,Miss Inga Sock,Win,5,Lose,TRUE
Tipster A,Peril,Win,4.33,Win,TRUE
Tipster A,Aldreth,Win,6,Lose,TRUE
Tipster A,Niceonemyson,Win,6,Lose,TRUE
Tipster A,Brandon Castle,Win,6,Lose,TRUE
Tipster A,Sands Time,Win,5.5,Lose,TRUE
Tipster A,Ad Dabaran,Win,2,Lose,TRUE
Tipster A,Milgen Bay,Each Way,10,Lose,TRUE
Tipster A,Gleese The Devil,Win,8,Lose,TRUE
Tipster A,Especial,Win,6,Lose,TRUE
Tipster A,Indian Affair,Win,6,Lose,TRUE
Tipster A,Wild Desert,Win,3.25,Win,TRUE
Tipster A,Lets Twist,Win,2.75,Lose,TRUE
Tipster A,Berti Blue Boy,Win,3.5,Lose,TRUE
Tipster A,Shes Invincible,Win,3.25,Lose,TRUE
Tipster A,Pacngo,Win,3.25,Lose,TRUE
Tipster A,Honiton Lace,Each Way,11,Lose,TRUE
Tipster A,Cultrail,Win,1.8,Lose,TRUE
Tipster A,Withernsea,Win,4,Lose,TRUE
Tipster A,Cable Bay,Each Way,7.5,Lose,TRUE
Tipster A,Albert Bridge,Win,4.5,Win,TRUE
Tipster A,Towering,Win,3.25,Lose,TRUE
Tipster A,Patsio,Each Way,8,Lose,TRUE
Tipster A,Illtakeitfromhere,Win,2.5,Lose,TRUE
Tipster A,El Astrounote,Win,11,Win,TRUE
Tipster A,Golden Ambers,Each Way,11,Win,TRUE
Tipster A,Trimoulet,Win,3.25,Lose,TRUE
Tipster A,Bondi Beach,Win,5,Lose,TRUE
Tipster A,Sir Billy Wright,Win,4.33,Win,TRUE
Tipster A,Quick N Quirky,Each Way,21.1,Lose,TRUE
Tipster A,At First Light,Each Way,9,Win,TRUE
Tipster A,Mussadas,Each Way,8,Lose,TRUE
Tipster A,Covert Love,Win,4,Lose,TRUE
Tipster A,Koora,Each Way,11,Win,TRUE
Tipster A,Mistrusting,Win,4.5,Win,TRUE
Tipster A,Royal Toast,Each Way,9,Win,TRUE
Tipster A,Top Notch Tonto,Each Way,8,Lose,TRUE
Tipster A,Al,Each Way,9,Lose,TRUE
Tipster A,Quick Jack,Each Way,8,Lose,TRUE
Tipster A,Ornate,Win,2.25,Lose,TRUE
Tipster A,Imtiyaaz,Each Way,6,Win,TRUE
Tipster A,Ribbons,Win,4,Lose,TRUE
Tipster A,Macnicholson,Each Way,11,Lose,TRUE
Tipster A,Rockie Road,Win,3.25,Win,TRUE
Tipster A,Steventon Star,Win,3.5,Lose,TRUE
Tipster A,The Kvilleken,Win,3,Lose,TRUE
Tipster A,Reginauld Claude,Each Way,7,Lose,TRUE
Tipster A,Aqua Libre,Each Way,9,Win,TRUE
Tipster A,Mister Brightside,Win,4,Win,TRUE
Tipster A,Brittleton,Win,3,Win,TRUE
Tipster A,Volunteer Point,Win,5,Lose,TRUE
Tipster A,Punk Rocker,Win,3.75,Lose,TRUE
Tipster A,Three Colours Red,Each Way,7,Lose,TRUE
Tipster A,Rosina,Win,3.75,Win,TRUE
